1.99629	1.99629	0.2
1.99619	1.99619	-0.62
1.99599	1.99599	-0.31
1.99632	1.99632	0.6
1.99639	1.99639	0.32
1.99641	1.99641	0.54
1.99691	1.99691	0.19
1.99655	1.99655	-0.86
1.99681	1.99681	0.5
1.99663	1.99663	-0.45
1.99618	1.99618	-0.49
1.99635	1.99635	-0.27
1.99627	1.99627	-0.03
1.99649	1.99649	1
1.99644	1.99644	-0.08
1.99649	1.99649	-0.12
1.99644	1.99644	-0.15
1.99614	1.99614	-0.53
1.99629	1.99629	0.56
1.99614	1.99614	-0.41
1.99649	1.99649	0.4
1.99658	1.99658	0.24
1.99658	1.99658	-0.22
1.9965	1.9965	-0.79
1.99629	1.99629	-0.98
1.99619	1.99619	-0.29
1.99592	1.99592	-0.87
1.99571	1.99571	-0.51
1.99577	1.99577	0.1
1.99573	1.99573	-0.15
1.99563	1.99563	-0.52
1.99513	1.99513	-0.61
1.99481	1.99481	-0.76
1.99418	1.99418	-0.95
1.99395	1.99395	-0.54
1.99359	1.99359	-1.06
1.99324	1.99324	-0.82
1.9932	1.9932	-0.67
1.99266	1.99266	0.04
1.99256	1.99256	-0.51
1.99214	1.99214	-0.73
1.99159	1.99159	-1.43
1.99094	1.99094	-1.61
1.99065	1.99065	-0
1.99059	1.99059	-0.83
1.99024	1.99024	0.15
1.99021	1.99021	-0.99
1.98976	1.98976	-0.87
1.98941	1.98941	0.33
1.98837	1.98837	-0.94
1.98851	1.98851	0.07
1.98847	1.98847	-0.14
1.98828	1.98828	0.58
1.98819	1.98819	-0.22
1.98741	1.98741	-0.91
1.98763	1.98763	0.98
1.98705	1.98705	-0.7
1.98623	1.98623	-0.56
1.98679	1.98679	0.21
1.98609	1.98609	-0.43
1.98614	1.98614	0.31
1.98582	1.98582	-1.26
1.98549	1.98549	-0.81
1.985	1.985	0.24
1.98468	1.98468	-0.68
1.98426	1.98426	0.46
1.98347	1.98347	-1.17
1.98353	1.98353	0.34
1.98362	1.98362	-0.41
1.98329	1.98329	-1.74
