1.04306	1.04306	-2.32
1.0421	1.0421	-2.08
1.0414	1.0414	-1.02
1.04092	1.04092	-1.52
1.03998	1.03998	-1.67
1.03907	1.03907	-1.63
1.03765	1.03765	-3.31
1.03624	1.03624	-0.59
1.03484	1.03484	-2.11
1.03408	1.03408	-1.7
1.03347	1.03347	-0.95
1.03256	1.03256	-1.88
1.03151	1.03151	-1.57
1.03074	1.03074	-1.59
1.02985	1.02985	-1.49
1.02927	1.02927	-1.02
1.02872	1.02872	-0.48
1.02836	1.02836	-1.12
1.0279	1.0279	-0.72
1.02776	1.02776	-1.2
1.02737	1.02737	-1.05
1.02727	1.02727	0.01
1.02682	1.02682	-1.28
1.02686	1.02686	0.88
1.02692	1.02692	-0.09
1.0268	1.0268	0.39
1.02663	1.02663	-0.14
1.02636	1.02636	-0
1.02644	1.02644	0.42
1.02638	1.02638	-0.1
1.02633	1.02633	-0.3
1.02596	1.02596	-0.39
1.02584	1.02584	-0.17
1.02569	1.02569	-0.19
1.026	1.026	0.57
1.02566	1.02566	-0.92
1.02556	1.02556	0.1
1.02527	1.02527	-0.33
1.02495	1.02495	0
1.02496	1.02496	-0
1.02465	1.02465	-0.59
1.02454	1.02454	-0.24
1.02397	1.02397	-0.57
1.0239	1.0239	0.41
1.02403	1.02403	-0.15
1.02339	1.02339	-1.15
1.02341	1.02341	0.43
1.02315	1.02315	-0.6
1.02256	1.02256	-0.64
1.02285	1.02285	0.24
1.02223	1.02223	-1.41
1.02209	1.02209	0.68
1.02199	1.02199	0.01
1.02148	1.02148	-1.15
1.02145	1.02145	0.84
1.02148	1.02148	-0.54
1.02095	1.02095	-0.45
1.02092	1.02092	-0.02
1.02052	1.02052	-0.79
1.02013	1.02013	-0.01
1.0202	1.0202	-0.46
1.01945	1.01945	-0.31
1.01909	1.01909	-0.4
1.01892	1.01892	0.19
1.01932	1.01932	0.69
1.0188	1.0188	-0.11
1.01919	1.01919	0.39
1.01842	1.01842	-1.6
1.01822	1.01822	0.99
1.01805	1.01805	-1.16
1.01787	1.01787	0.1
1.01855	1.01855	1.06
1.01852	1.01852	-0.38
1.01846	1.01846	-0.53
1.01881	1.01881	2.37
1.01847	1.01847	-2.26
1.01794	1.01794	-0.1
1.0184	1.0184	0.52
1.01785	1.01785	-0.84
1.01848	1.01848	0.46
1.01856	1.01856	0.11
1.01834	1.01834	0.01
1.01827	1.01827	0.12
1.01817	1.01817	-0.67
1.01823	1.01823	0.89
1.01827	1.01827	-0.65
1.01809	1.01809	0.32
1.01831	1.01831	0.4
1.01809	1.01809	0.16
1.01832	1.01832	0.7
1.01813	1.01813	-0.69
1.0181	1.0181	0.03
1.0181	1.0181	0.34
1.01801	1.01801	-0.41
1.01834	1.01834	0.66
1.01846	1.01846	-0.09
1.01817	1.01817	-0.18
1.0185	1.0185	0.73
1.01824	1.01824	-0.63
1.01834	1.01834	0.84
1.01865	1.01865	0.26
1.01857	1.01857	0.06
1.0188	1.0188	0.64
1.01896	1.01896	-0.26
1.01869	1.01869	-0.04
1.01911	1.01911	0.9
1.01886	1.01886	-1.13
1.01879	1.01879	0.83
1.01951	1.01951	0.6
1.01937	1.01937	0.85
1.01978	1.01978	0.58
1.01978	1.01978	-0.43
1.01972	1.01972	0.25
1.01995	1.01995	0.58
1.02007	1.02007	-0.06
1.01992	1.01992	0.01
1.02043	1.02043	0.56
1.02029	1.02029	-0.31
1.02059	1.02059	0.73
1.0208	1.0208	0.02
1.02082	1.02082	-0.14
1.02084	1.02084	-0.16
1.02094	1.02094	0.33
1.02095	1.02095	0.35
1.02118	1.02118	0.34
1.02144	1.02144	0.1
1.02145	1.02145	0.22
1.02156	1.02156	0.01
1.02183	1.02183	0.71
1.02184	1.02184	0.35
1.02205	1.02205	0.28
1.02203	1.02203	0
1.02214	1.02214	0.86
1.02223	1.02223	-0.3
1.02248	1.02248	0.54
1.02265	1.02265	0.45
1.02272	1.02272	0.42
1.02298	1.02298	0.56
1.02307	1.02307	0.27
1.02319	1.02319	0.07
1.02335	1.02335	0.37
1.02335	1.02335	0.11
1.02362	1.02362	0.24
1.0237	1.0237	0.25
1.02381	1.02381	-0.1
1.02394	1.02394	0.11
1.02391	1.02391	0.21
1.02408	1.02408	0.28
1.02404	1.02404	0.34
1.02423	1.02423	0.01
1.02421	1.02421	-0.18
1.02435	1.02435	0.92
1.02451	1.02451	0.28
1.02454	1.02454	-0.18
1.0249	1.0249	0.77
1.02479	1.02479	-0.64
1.02491	1.02491	1.07
1.02502	1.02502	-0.58
1.02538	1.02538	0.99
1.02551	1.02551	-0
1.02543	1.02543	-0.03
1.02574	1.02574	0.94
1.02596	1.02596	0.34
1.02589	1.02589	-0.16
1.02619	1.02619	1.11
1.0264	1.0264	0.37
1.02681	1.02681	0.99
1.02716	1.02716	0.77
1.0273	1.0273	0.54
1.02775	1.02775	0.89
1.02808	1.02808	1.26
1.02847	1.02847	0.17
1.02891	1.02891	0.93
1.02946	1.02946	0.55
1.02961	1.02961	0.29
1.03007	1.03007	0.88
1.03027	1.03027	0.89
1.0305	1.0305	0.74
1.03095	1.03095	0.81
1.03122	1.03122	0.47
1.03163	1.03163	0.96
1.03229	1.03229	1.01
1.03234	1.03234	-0.11
1.03273	1.03273	0.67
1.03281	1.03281	0.22
1.03317	1.03317	1.7
1.03373	1.03373	0.76
1.03364	1.03364	-0.31
1.03435	1.03435	1.73
1.03478	1.03478	-0.39
1.03528	1.03528	1.27
1.03608	1.03608	1.38
1.03602	1.03602	-1.01
1.03639	1.03639	1.86
