2.52665	2.52665	-0.1
2.52655	2.52655	-0.42
2.52658	2.52658	0.32
2.52652	2.52652	-0.02
2.52664	2.52664	0.01
2.52676	2.52676	0.15
2.52684	2.52684	0.21
2.5268	2.5268	-0.02
2.52674	2.52674	-0.52
2.52674	2.52674	-0.22
2.52679	2.52679	0.21
2.5268	2.5268	0.2
2.52686	2.52686	-0.04
2.52693	2.52693	0.02
2.52699	2.52699	0.2
2.52702	2.52702	-0.21
2.52694	2.52694	-0.42
2.52696	2.52696	0.46
2.52692	2.52692	-0
2.52694	2.52694	0.17
2.527	2.527	0.21
2.52711	2.52711	-0.03
2.52716	2.52716	-0.44
2.52716	2.52716	-0.28
2.52718	2.52718	0.12
2.52722	2.52722	0.37
2.52722	2.52722	-0.06
2.5273	2.5273	0.14
2.52738	2.52738	0.55
2.52751	2.52751	0.61
2.52743	2.52743	-0.3
2.52748	2.52748	-0.13
2.52751	2.52751	0.17
2.52753	2.52753	-0.1
2.52755	2.52755	0.14
2.52762	2.52762	0.32
2.52763	2.52763	-0.23
2.5278	2.5278	0.21
2.52795	2.52795	0.22
2.52796	2.52796	0.05
2.52811	2.52811	-0.03
2.52819	2.52819	0.05
2.52822	2.52822	0.34
2.52826	2.52826	0.08
2.52833	2.52833	0.12
2.5284	2.5284	0.02
2.52857	2.52857	0.07
2.5287	2.5287	0.34
2.52872	2.52872	0.19
2.52874	2.52874	-0.18
2.52876	2.52876	0.11
2.52886	2.52886	0.04
2.52909	2.52909	0.27
2.52931	2.52931	0.5
2.52953	2.52953	0.24
2.52957	2.52957	-0.05
2.52965	2.52965	-0.04
2.52967	2.52967	-0.12
2.52958	2.52958	-0.09
2.52964	2.52964	0.11
2.52973	2.52973	0.09
2.52983	2.52983	0.47
2.52999	2.52999	-0
2.53014	2.53014	0.17
2.53027	2.53027	0.32
2.53037	2.53037	0.24
2.53051	2.53051	0.26
2.53079	2.53079	0.77
2.53095	2.53095	0.41
2.53117	2.53117	0.22
2.53139	2.53139	0.32
2.53158	2.53158	0.12
2.53169	2.53169	-0.18
2.53179	2.53179	0.18
2.53199	2.53199	0.43
2.53221	2.53221	0.04
2.53235	2.53235	0.45
2.53264	2.53264	0.13
2.53277	2.53277	0.26
2.53289	2.53289	0.69
2.53302	2.53302	0.21
2.53343	2.53343	0.8
2.53361	2.53361	0.07
2.53413	2.53413	0.76
2.53435	2.53435	0.15
2.53459	2.53459	0.46
2.53476	2.53476	0.54
2.53489	2.53489	0.23
2.53509	2.53509	0.57
2.53541	2.53541	0.49
2.53576	2.53576	0.7
2.53617	2.53617	0.51
2.53638	2.53638	0.38
2.53647	2.53647	0.1
2.53648	2.53648	0.35
2.53638	2.53638	-0.08
2.53646	2.53646	-0.08
2.5366	2.5366	0.28
2.53688	2.53688	0.4
2.5374	2.5374	0.32
2.53787	2.53787	1.08
2.53821	2.53821	0.75
2.53847	2.53847	0.69
2.53866	2.53866	0.29
2.53888	2.53888	0.42
2.5391	2.5391	0.15
2.53928	2.53928	0.15
2.53961	2.53961	0.67
2.53967	2.53967	0.36
2.5399	2.5399	0.36
2.54004	2.54004	0.13
2.54015	2.54015	0.05
2.54034	2.54034	0.42
2.54061	2.54061	0.88
2.54089	2.54089	0.65
2.54146	2.54146	0.99
2.5417	2.5417	0.36
2.54195	2.54195	0.19
2.54204	2.54204	0.12
2.54217	2.54217	0.28
2.54227	2.54227	0.04
2.54243	2.54243	0.29
2.54272	2.54272	-0.04
2.54311	2.54311	0.64
2.54334	2.54334	0.49
2.54356	2.54356	0.56
2.5438	2.5438	0.22
2.54407	2.54407	0.71
2.54427	2.54427	0.3
2.54463	2.54463	0.6
2.54487	2.54487	0.62
2.54503	2.54503	0.41
2.54533	2.54533	0.26
2.54546	2.54546	0.17
2.54559	2.54559	-0.13
2.54587	2.54587	0.51
2.54602	2.54602	0.39
2.54623	2.54623	0.51
2.54664	2.54664	0.57
2.54685	2.54685	0.44
2.54712	2.54712	0.61
2.54746	2.54746	0.45
2.54769	2.54769	0.24
2.54783	2.54783	0.34
2.54785	2.54785	-0.08
2.548	2.548	0.25
2.54826	2.54826	0.51
2.54852	2.54852	0.63
2.54888	2.54888	0.52
2.54929	2.54929	0.98
2.5495	2.5495	0
2.54977	2.54977	0.19
2.54993	2.54993	0.14
2.54997	2.54997	0.23
2.55013	2.55013	0
2.55038	2.55038	0.3
2.55072	2.55072	0.64
2.55112	2.55112	1.1
2.5515	2.5515	0.52
2.55186	2.55186	0.35
2.55208	2.55208	0.28
2.5523	2.5523	0.22
2.55239	2.55239	0.61
2.55238	2.55238	0.13
2.55269	2.55269	0.46
2.5531	2.5531	0.85
2.55326	2.55326	0.4
2.55348	2.55348	0.58
2.55363	2.55363	0.41
2.55378	2.55378	-0.03
2.55409	2.55409	0.64
2.55429	2.55429	0.27
2.55456	2.55456	0.01
2.55483	2.55483	1.12
2.55514	2.55514	0.49
2.55556	2.55556	0.95
2.55573	2.55573	0.63
2.55601	2.55601	0.39
2.55624	2.55624	0.73
2.55635	2.55635	0.41
2.55655	2.55655	0.49
2.55668	2.55668	0.56
2.55681	2.55681	0.24
2.55698	2.55698	0.39
2.55721	2.55721	0.56
2.55741	2.55741	0.44
2.55783	2.55783	0.86
2.55814	2.55814	0.83
2.55846	2.55846	0.49
2.55861	2.55861	0.64
2.55883	2.55883	0.12
2.55907	2.55907	0.6
2.55931	2.55931	0.62
2.55954	2.55954	0.25
2.55979	2.55979	0.57
2.56012	2.56012	0.65
2.56019	2.56019	0.02
2.56046	2.56046	0.05
2.5606	2.5606	0.41
2.56064	2.56064	-0.22
2.56085	2.56085	0.13
2.561	2.561	0.44
2.56115	2.56115	0.52
2.56119	2.56119	0.12
2.56134	2.56134	0.14
2.56141	2.56141	0.37
2.56145	2.56145	-0.23
2.56147	2.56147	0.3
2.56155	2.56155	0.17
2.56147	2.56147	0.01
2.56136	2.56136	-0.13
2.56126	2.56126	-0.38
2.56121	2.56121	0.07
2.56106	2.56106	-0.38
2.56099	2.56099	-0.08
2.56086	2.56086	-0.16
2.5608	2.5608	-0.32
2.56064	2.56064	-0.32
2.56062	2.56062	-0.06
2.56067	2.56067	0.15
2.56064	2.56064	0.01
2.56063	2.56063	-0.16
2.56059	2.56059	-0.22
2.56051	2.56051	-0.28
2.5605	2.5605	0.11
2.56022	2.56022	-0.41
2.55998	2.55998	-0.98
2.55972	2.55972	-0.49
2.55957	2.55957	-0.25
2.55938	2.55938	-0.57
2.55921	2.55921	-0.25
2.5589	2.5589	-0.88
2.55854	2.55854	-0.94
2.55822	2.55822	-0.87
2.55769	2.55769	-0.71
2.55735	2.55735	-0.75
2.55697	2.55697	-0.58
2.55664	2.55664	-0.28
2.55622	2.55622	-0.86
2.55581	2.55581	-0.83
2.55532	2.55532	-0.71
2.55478	2.55478	-1.01
2.55411	2.55411	-1.2
2.55359	2.55359	-1.19
2.55309	2.55309	-1.04
2.55246	2.55246	-1.29
2.55189	2.55189	-1.36
2.5512	2.5512	-1.34
2.55052	2.55052	-1.28
2.54988	2.54988	-1.17
2.54902	2.54902	-1.16
2.5483	2.5483	-1.17
2.54756	2.54756	-1.44
2.54671	2.54671	-1.81
2.54582	2.54582	-1.58
2.54503	2.54503	-1.39
2.54432	2.54432	-1.23
2.54367	2.54367	-1.09
2.54305	2.54305	-1.15
2.54214	2.54214	-1.48
2.54139	2.54139	-1.55
2.54059	2.54059	-1.43
2.53982	2.53982	-1.52
2.53909	2.53909	-1.17
2.53844	2.53844	-1.2
2.53782	2.53782	-0.98
2.53703	2.53703	-0.69
2.5365	2.5365	-0.88
2.53597	2.53597	-0.89
2.53533	2.53533	-1.03
2.53481	2.53481	-0.7
2.53421	2.53421	-1.19
2.53366	2.53366	-0.92
2.53319	2.53319	-0.7
2.53258	2.53258	-0.92
2.53209	2.53209	-1
2.53159	2.53159	-0.81
2.53115	2.53115	-0.82
2.53066	2.53066	-1.03
2.53026	2.53026	-1.03
2.52992	2.52992	-0.64
2.52941	2.52941	-1.1
2.52889	2.52889	-0.73
2.52875	2.52875	-0.16
2.52857	2.52857	-0.34
2.5283	2.5283	-0.76
2.52807	2.52807	-0.36
2.52771	2.52771	-0.53
2.52736	2.52736	-0.92
2.52718	2.52718	-0.43
2.52703	2.52703	-0.35
2.52665	2.52665	-0.45
2.52648	2.52648	-0.33
2.52636	2.52636	-0.21
2.52613	2.52613	-0.31
2.52582	2.52582	-0.81
2.52557	2.52557	-0.55
2.52519	2.52519	-0.55
2.52475	2.52475	-0.14
2.5244	2.5244	-0.59
2.52413	2.52413	-0.58
2.52394	2.52394	-0.33
2.52373	2.52373	-0.36
2.52343	2.52343	-0.64
2.52322	2.52322	-0.45
2.52285	2.52285	-0.84
2.52253	2.52253	-0.63
2.52224	2.52224	-0.35
2.52199	2.52199	-0.3
2.52179	2.52179	-0.46
2.5215	2.5215	-0.23
2.52121	2.52121	-0.74
2.52091	2.52091	-0.6
2.52063	2.52063	-0.43
2.52025	2.52025	-0.63
2.51999	2.51999	-0.37
2.51976	2.51976	-0.43
2.51937	2.51937	-0.74
2.51906	2.51906	-0.33
2.51871	2.51871	-0.61
2.51827	2.51827	-0.51
2.51797	2.51797	-0.69
2.51767	2.51767	-0.51
2.51743	2.51743	-0.21
2.51722	2.51722	-0.43
2.51701	2.51701	-0.37
2.51667	2.51667	-0.49
2.51628	2.51628	-0.72
2.51585	2.51585	-0.57
2.51546	2.51546	-0.65
2.51486	2.51486	-0.88
