[GPS]		31.591757397302185	120.778317856299880	146.139130888083370	0.00	0.00	
[GPS]		31.591755963076384	120.778319053336400	146.129161422448110	-0.01	0.20	
[GPS]		31.591754528599328	120.778320248261390	146.122400520465560	-0.01	0.39	
[GPS]		31.591753093833184	120.778321440643410	146.128301985755430	-0.02	0.59	
[GPS]		31.591751659722402	120.778322631633170	146.141709198161460	-0.02	0.78	
[GPS]		31.591750227134650	120.778323826042070	146.148584691703040	-0.03	0.98	
[GPS]		31.591748796013619	120.778325020734160	146.153855903418220	-0.03	1.17	
[GPS]		31.591747366231065	120.778326215596340	146.159700072928590	-0.04	1.37	
[GPS]		31.591745937834872	120.778327411717840	146.157236354409520	-0.04	1.56	
[GPS]		31.591744511157980	120.778328608127940	146.150074381970370	-0.05	1.76	
[GPS]		31.591743085322999	120.778329804180250	146.145318832270790	-0.05	1.95	
[GPS]		31.591741185517627	120.778331399021130	146.132484577659850	-0.06	2.21	
[GPS]		31.591740233941106	120.778332192808720	146.132026211423750	-0.06	2.34	
[GPS]		31.591738807452856	120.778333384558310	146.139188183862900	-0.07	2.54	
[GPS]		31.591737381538060	120.778334574731570	146.150647339765500	-0.07	2.73	
[GPS]		31.591735482036157	120.778336164171860	146.154085086536330	-0.08	2.99	
[GPS]		31.591733585268937	120.778337750791450	146.157637424866100	-0.09	3.25	
[GPS]		31.591731691382702	120.778339329401360	146.150418156647450	-0.10	3.51	
[GPS]		31.591730744467537	120.778340124946610	146.150418156647450	-0.10	3.64	
[GPS]		31.591729324177720	120.778341309577400	146.157580129086600	-0.11	3.83	
[GPS]		31.591727431046898	120.778342884121710	146.156777988173390	-0.11	4.09	
[GPS]		31.591725539643992	120.778344464460390	146.167263115824310	-0.12	4.35	
[GPS]		31.591724122988825	120.778345649474120	146.186113427284110	-0.12	4.54	
[GPS]		31.591722236406060	120.778347232462580	146.179295229522040	-0.13	4.80	
[GPS]		31.591720824537777	120.778348419667620	146.168179848296520	-0.14	5.00	
[GPS]		31.591719408881083	120.778349603216230	146.170357087918010	-0.14	5.19	
[GPS]		31.591717994681311	120.778350786085770	146.165085876202800	-0.15	5.38	
[GPS]		31.591716107379749	120.778352353149830	146.163710777494490	-0.16	5.64	
[GPS]		31.591714693558220	120.778353529962030	146.170758158374610	-0.16	5.83	
[GPS]		31.591712810380223	120.778355098830150	146.162736749242750	-0.17	6.09	
[GPS]		31.591710928738898	120.778356668359620	146.172075961303390	-0.17	6.35	
[GPS]		31.591709987759472	120.778357449473010	146.178951454844960	-0.18	6.47	
[GPS]		31.591708109400368	120.778359016346870	146.176545032105420	-0.18	6.73	
[GPS]		31.591706231553680	120.778360578611140	146.188691737362210	-0.19	6.99	
[GPS]		31.591704826646065	120.778361753313400	146.193218103943740	-0.20	7.18	
[GPS]		31.591702957497173	120.778363320468980	146.189551174054880	-0.20	7.43	
[GPS]		31.591702022433413	120.778364101563840	146.195166160447200	-0.21	7.56	
[GPS]		31.591700153191375	120.778365662917950	146.192874329266690	-0.21	7.82	
[GPS]		31.591698750240599	120.778366831360540	146.192072188353480	-0.22	8.01	
[GPS]		31.591697348362878	120.778367998794240	146.190353314968090	-0.22	8.20	
[GPS]		31.591695947869439	120.778369166476340	146.200723851059910	-0.23	8.39	
[GPS]		31.591694083555311	120.778370725318850	146.196483963375980	-0.24	8.65	
[GPS]		31.591692221543919	120.778372279674600	146.202098949768240	-0.24	8.90	
[GPS]		31.591690826241301	120.778373446311490	146.200895738398490	-0.25	9.09	
[GPS]		31.591689430490195	120.778374611406870	146.199291456572130	-0.25	9.28	
[GPS]		31.591687568420905	120.778376161151130	146.199520639690180	-0.26	9.54	
[GPS]		31.591685706519510	120.778377703432310	146.203932414712680	-0.27	9.79	
[GPS]		31.591684311103965	120.778378855684980	146.207484753042480	-0.27	9.98	
[GPS]		31.591682916594078	120.778380007292630	146.221522219023200	-0.27	10.17	
[GPS]		31.591681523679799	120.778381160467300	146.227480980092540	-0.28	10.36	
[GPS]		31.591680134179374	120.778382316345410	146.225418332030070	-0.28	10.55	
[GPS]		31.591678286097419	120.778383854025950	146.235101318767790	-0.29	10.80	
[GPS]		31.591677364956290	120.778384631940130	146.237335854168800	-0.29	10.93	
[GPS]		31.591675064815394	120.778386562197280	146.222954613511040	-0.30	11.24	
[GPS]		31.591673225478022	120.778388107559550	146.211667344946930	-0.31	11.49	
[GPS]		31.591672303923644	120.778388873582430	146.201182217296040	-0.31	11.62	
[GPS]		31.591670921051094	120.778390024637930	146.196140188698910	-0.32	11.81	
[GPS]		31.591669077211222	120.778391557544380	146.205307513420990	-0.33	12.06	
[GPS]		31.591667693209448	120.778392702339520	146.225303740471080	-0.33	12.25	
[GPS]		31.591666310025431	120.778393847597510	146.240028755805950	-0.33	12.43	
[GPS]		31.591664467053949	120.778395373073040	146.250743066574870	-0.34	12.69	
[GPS]		31.591662630029873	120.778396906605350	146.249482559425560	-0.35	12.94	
[GPS]		31.591661253637369	120.778398054005920	146.239914164246900	-0.35	13.12	
[GPS]		31.591659877910104	120.778399201525910	146.230746839524780	-0.36	13.31	
[GPS]		31.591658503390430	120.778400345763760	146.229600923934530	-0.36	13.50	
[GPS]		31.591656214931330	120.778402248191470	146.245357263300630	-0.37	13.81	
[GPS]		31.591654843299434	120.778403390531540	146.258707179927170	-0.37	14.00	
[GPS]		31.591653472410439	120.778404533745500	146.264895124114590	-0.38	14.19	
[GPS]		31.591652102064273	120.778405678635790	146.271999800774210	-0.38	14.37	
[GPS]		31.591650276809187	120.778407209968380	146.273260307923490	-0.39	14.62	
